Agropecuária	Indústria	Serviços	Impostos
506	4903	6083	2394
539	5223	6480	2549
570	5520	6849	2695
604	5849	7257	2855
1002	5825	6902	2701
1071	6227	7379	2887
1096	6374	7553	2955
1144	6652	7882	3084
968	5374	7632	2972
1014	5629	7995	3113
1055	5854	8315	3238
1090	6051	8594	3347
1203	5920	8902	3316
1281	6306	9483	3532
1312	6456	9709	3617
1369	6738	10133	3774
1243	5944	10056	3542
1275	6100	10319	3635
1311	6270	10608	3737
1353	6471	10948	3857
1408	5887	10368	3371
1430	5982	10534	3425
1457	6095	10734	3490
1498	6266	11035	3588
1406	6302	10447	3141
1462	6549	10857	3264
1479	6629	10989	3304
1533	6869	11387	3423
1353	6290	11307	3559
1391	6466	11623	3658
1403	6521	11723	3690
1458	6779	12186	3836
1325	6950	11989	3783
1366	7165	12360	3900
1392	7303	12598	3975
1433	7516	12965	4091
1181	7838	12541	4148
1228	8147	13035	4312
1265	8394	13431	4443
1297	8603	13765	4553
1259	8823	13542	4938
1181	8278	12704	4633
1297	9089	13949	5087
1377	9650	14811	5401
1292	9713	14808	5656
1301	9739	14824	5454
1320	9969	15188	5755
1335	10179	15496	5963
1317	10220	15578	6133
1292	10239	15774	5998
1334	10441	15991	6198
1363	10629	16196	6337
1330	10660	16379	6449
1334	10677	16575	6360
1350	10858	16780	6492
1363	11027	16982	6584
